year,book_type,marking_mode,build_ok,mark_ok,reason,n
2024,short_put_spread_25delta_10delta_30d,strict_exact_contract,1,1,success,17
2024,short_put_spread_25delta_10delta_30d,strict_exact_contract,1,0,missing_after_exact_contract,7
2025,atm_straddle_30d,robust_all,0,0,build_standard_book_failed,111
2025,atm_straddle_30d,robust_all,1,1,success,53
2025,atm_straddle_30d,strict_exact_contract,0,0,build_standard_book_failed,111
2025,atm_straddle_30d,strict_exact_contract,1,0,missing_after_exact_contract,36
2025,atm_straddle_30d,strict_exact_contract,1,1,success,17
2025,risk_reversal_25d_30d,robust_all,0,0,build_standard_book_failed,104
2025,risk_reversal_25d_30d,robust_all,1,1,success,60
2025,risk_reversal_25d_30d,strict_exact_contract,0,0,build_standard_book_failed,104
2025,risk_reversal_25d_30d,strict_exact_contract,1,0,missing_after_exact_contract,37
2025,risk_reversal_25d_30d,strict_exact_contract,1,1,success,23
2025,short_put_spread_25delta_10delta_30d,robust_all,0,0,build_standard_book_failed,144
2025,short_put_spread_25delta_10delta_30d,robust_all,1,1,success,18
2025,short_put_spread_25delta_10delta_30d,robust_all,1,0,missing_option_mark,2
2025,short_put_spread_25delta_10delta_30d,strict_exact_contract,0,0,build_standard_book_failed,144
2025,short_put_spread_25delta_10delta_30d,strict_exact_contract,1,1,success,12
2025,short_put_spread_25delta_10delta_30d,strict_exact_contract,1,0,missing_after_exact_contract,8
