asset_ticker,asset_secid,year,n_days,empirical_exceedance_rate_base,empirical_exceedance_rate_hist,empirical_exceedance_rate_ewma,empirical_exceedance_rate_caviar,empirical_exceedance_rate_garch_t,empirical_exceedance_rate_conf,avg_loss_norm,avg_q_hat_base_raw,avg_q_hat_ref,avg_q_hat_core_op,avg_q_hat_rep,avg_q_hat_base,avg_q_hat_hist,avg_q_hat_ewma,avg_q_hat_caviar,avg_q_hat_garch_t,avg_buffer_t,avg_var_conf_raw,avg_var_conf,avg_violation_ewma,avg_violation_caviar,avg_violation_garch_t,avg_violation_conf,avg_pinball_base,avg_pinball_hist,avg_pinball_ewma,avg_pinball_caviar,avg_pinball_garch_t,avg_pinball_conf,quality_strict_pass_share,p95_book_quality_max_abs_k_t,p95_book_quality_max_abs_dte_error_t,n_route_a_changed,experiment_id,experiment_group,book_type,book_quality_mode
SPX,,2022,236,0.18220338983050846,0.17796610169491525,,,,0.09745762711864407,-0.017708407236527342,0.10390748295112182,0.10390748295112182,0.1509402417406474,0.1509402417406474,0.10390748295112182,0.10242821507748012,,,,0.04703275878952559,0.1509402417406474,0.1509402417406474,,,,0.00754476683012087,0.0259399389728986,0.024436914225615735,,,,0.02440963172783834,0.7372881355932204,0.1526684228458166,2.0,0,learner_xgboost_robust_all_floor_0p0_quality_loose,learner_robustness,atm_straddle_30d,loose
SPX,,2023,47,0.10638297872340426,0.0851063829787234,,,,0.10638297872340426,-0.15344316328321558,0.13283968368109236,0.13283968368109236,0.1529290985148927,0.1529290985148927,0.13283968368109236,0.13479880915709802,,,,0.02008941483380035,0.1529290985148927,0.1529290985148927,,,,0.010916403061460148,0.0411223935775874,0.03970184076712,,,,0.04155362924127097,0.0425531914893617,0.19310477699131806,9.399999999999991,0,learner_xgboost_robust_all_floor_0p0_quality_loose,learner_robustness,atm_straddle_30d,loose
SPX,,2024,33,0.2727272727272727,0.36363636363636365,,,,0.21212121212121213,0.09937960349901097,0.25474357853333157,0.25474357853333157,0.3113113571466252,0.3113113571466252,0.25474357853333157,0.1471165479198131,,,,0.05656777861329364,0.3113113571466252,0.3113113571466252,,,,0.05012622953238136,0.08082259721285331,0.10598157994796,,,,0.07131940489714278,0.0,0.19786306708083848,14.399999999999999,0,learner_xgboost_robust_all_floor_0p0_quality_loose,learner_robustness,atm_straddle_30d,loose
SPX,,2025,53,0.09433962264150944,0.07547169811320754,,,,0.03773584905660377,-0.09023729510191855,0.23414655514764335,0.23414655514764335,0.3245725640217645,0.3245725640217645,0.23414655514764335,0.16654875855334206,,,,0.09042600887412112,0.3245725640217645,0.3245725640217645,,,,0.005724038824289092,0.04452386610181661,0.03814414540302719,,,,0.047205024736657386,0.018867924528301886,0.1949636390589084,7.399999999999999,0,learner_xgboost_robust_all_floor_0p0_quality_loose,learner_robustness,atm_straddle_30d,loose
SPX,,2019,246,0.1991869918699187,0.07317073170731707,,,,0.11382113821138211,-0.06597082478741786,0.03616489679227267,0.036336266559965594,0.05355872435463053,0.05355872435463053,0.036336266559965594,0.057619740127621166,,,,0.017222457794664935,0.05355872435463053,0.05355872435463053,,,,0.006754224115066409,0.01925972290202533,0.01890322657943205,,,,0.018707179029271246,0.9715447154471545,0.183114645104259,2.0,9,learner_xgboost_robust_all_floor_0p0_quality_loose,learner_robustness,risk_reversal_25d_30d,loose
SPX,,2020,223,0.11659192825112108,0.06726457399103139,,,,0.09865470852017937,-0.6678162814269726,0.023066796006498056,0.025192497964051024,0.032939731614708624,0.03302675302375579,0.025192497964051024,0.03437389074267675,,,,0.0077472336506575964,0.032939731614708624,0.03302675302375579,,,,0.004587337182406416,0.0746086795346563,0.07473590433840885,,,,0.07467164062747923,0.5650224215246636,0.10422841179676072,2.0,60,learner_xgboost_robust_all_floor_0p0_quality_loose,learner_robustness,risk_reversal_25d_30d,loose
SPX,,2021,244,0.13114754098360656,0.10655737704918032,,,,0.11475409836065574,-0.5239863116015265,0.006753313161224185,0.00986764790686124,0.012061298422384858,0.012447637355580424,0.00986764790686124,0.01412735517307631,,,,0.0021936505155236165,0.012061298422384858,0.012447637355580424,,,,0.001384826606150688,0.05507506152341936,0.055867742189489415,,,,0.05502822150186138,0.5778688524590164,0.0998955597753412,2.0,66,learner_xgboost_robust_all_floor_0p0_quality_loose,learner_robustness,risk_reversal_25d_30d,loose
SPX,,2022,236,0.1228813559322034,0.17796610169491525,,,,0.11016949152542373,-0.15842054645576953,0.2885118731821144,0.29058187791623036,0.29945713808787455,0.29950724237129234,0.29058187791623036,0.01967563315105775,,,,0.008875260171644207,0.29945713808787455,0.29950724237129234,,,,0.08963695561650017,0.13559123013455834,0.14163222364718459,,,,0.13542973449920634,0.6101694915254238,0.1991989101054605,2.0,51,learner_xgboost_robust_all_floor_0p0_quality_loose,learner_robustness,risk_reversal_25d_30d,loose
SPX,,2023,58,0.2413793103448276,0.3275862068965517,,,,0.15517241379310345,0.5354335517073574,0.8968203574386907,0.8999265257654518,1.4313192379128048,1.4313192379128048,0.8999265257654518,0.2664965347580006,,,,0.5313927121473531,1.4313192379128048,1.4313192379128048,,,,0.22688823711264788,0.33388971160242914,0.4475813818502568,,,,0.3164768057331926,0.017241379310344827,0.1999337707092125,10.0,4,learner_xgboost_robust_all_floor_0p0_quality_loose,learner_robustness,risk_reversal_25d_30d,loose
SPX,,2024,39,0.1282051282051282,0.05128205128205128,,,,0.02564102564102564,-0.03262620167756374,0.59905987408442,0.6020484045506097,0.9641867140370226,0.9641867140370226,0.6020484045506097,0.5632619966391087,,,,0.36213830948641296,0.9641867140370226,0.9641867140370226,,,,0.007699168541986956,0.0797125850379069,0.09505779039467802,,,,0.10738046011344557,0.0,0.1997076369970908,14.100000000000001,3,learner_xgboost_robust_all_floor_0p0_quality_loose,learner_robustness,risk_reversal_25d_30d,loose
SPX,,2025,60,0.15,0.08333333333333333,,,,0.1,0.2549104999423643,0.8696110478582947,0.8701746080691616,0.9236528449413178,0.9236528449413178,0.8701746080691616,0.8010616892686501,,,,0.053478236872156325,0.9236528449413178,0.9236528449413178,,,,0.07123618086703917,0.13480330092236018,0.18096716938479054,,,,0.1381104153669345,0.0,0.19973563071068795,7.049999999999997,4,learner_xgboost_robust_all_floor_0p0_quality_loose,learner_robustness,risk_reversal_25d_30d,loose
SPX,,2019,225,0.15555555555555556,0.09777777777777778,,,,0.12444444444444444,-0.018006971627512074,0.023069520132897498,0.023117674466403615,0.036220889719897384,0.036220889719897384,0.023117674466403615,0.03700359170832052,,,,0.013103215253493767,0.036220889719897384,0.036220889719897384,,,,0.0033381895669871353,0.0091314462415168,0.009003248186387569,,,,0.00876097570172808,0.9955555555555555,0.19854867172212273,2.0,4,learner_xgboost_robust_all_floor_0p0_quality_loose,learner_robustness,short_put_spread_25delta_10delta_30d,loose
