book_type,method,method_suffix,n_backtest_days,target_exceedance_alpha,empirical_exceedance_rate,exceedance_gap,abs_exceedance_gap,avg_violation,avg_violation_per_exceedance,avg_pinball_loss,max_roll50_exceedance,crisis_n_days,crisis_exceedance_rate,avg_threshold,std_threshold,p05_threshold,p95_threshold,book_quality_mode
risk_reversal_25d_30d,LightGBM Quantile,base,1497,0.1,0.17635270541082165,0.07635270541082165,0.07635270541082165,0.006138829196863721,0.03480995192312496,0.010730379786803683,0.32,39,0.23076923076923078,0.03009632439075335,0.02215465988101815,0.0030439594498120497,0.07468533262535655,loose
risk_reversal_25d_30d,LightGBM + Calibration,conf,1497,0.1,0.10754843019372078,0.00754843019372077,0.00754843019372077,0.004390381578430542,0.04082236784416473,0.010335772296048939,0.2,39,0.1794871794871795,0.043634725667537684,0.026142754156525002,0.009313577955619124,0.09439247132185469,loose
short_put_spread_25delta_10delta_30d,Historical VaR,hist,988,0.1,0.0951417004048583,-0.00485829959514171,0.00485829959514171,0.0034523762749833465,0.03628667829450581,0.007472573499631571,0.3,38,0.2894736842105263,0.038581529516748536,0.004487474394230222,0.031371306442434736,0.04517384644589564,loose
short_put_spread_25delta_10delta_30d,EWMA Historical VaR,ewma,988,0.1,0.09919028340080972,-0.0008097165991902827,0.0008097165991902827,0.0034064269229041057,0.0343423448962169,0.007469806147389401,0.26,38,0.21052631578947367,0.03901334951511924,0.01355385176296377,0.020368897795590354,0.06578955895865281,loose
short_put_spread_25delta_10delta_30d,CAViaR,caviar,988,0.1,0.09412955465587045,-0.00587044534412956,0.00587044534412956,0.0034272921761379915,0.0364103727959606,0.007609414801750614,0.24,38,0.18421052631578946,0.04020078352639252,0.00971443103516722,0.027409843196276696,0.053729094131135496,loose
short_put_spread_25delta_10delta_30d,GARCH-t VaR,garch_t,988,0.1,0.11032388663967611,0.010323886639676108,0.010323886639676108,0.003933099938444531,0.0356504838457174,0.0075008540168880165,0.32,38,0.2631578947368421,0.03405709805470115,0.006822263224030287,0.02613672856816361,0.04445831588717692,loose
short_put_spread_25delta_10delta_30d,LightGBM Quantile,base,988,0.1,0.1680161943319838,0.0680161943319838,0.0680161943319838,0.0052505130568707686,0.031250041567399515,0.008087684006673482,0.3,38,0.21052631578947367,0.026751266768293425,0.01751793870815182,0.005163020990567604,0.06159696108101108,loose
short_put_spread_25delta_10delta_30d,LightGBM + Calibration,conf,988,0.1,0.10526315789473684,0.005263157894736831,0.005263157894736831,0.0032267100080621003,0.030653745076589953,0.007713488174079425,0.2,38,0.13157894736842105,0.04324733893043954,0.021307629743756964,0.01473969774823332,0.08547696263929927,loose
pooled,Historical VaR,hist,3969,0.1,0.11136306374401612,0.01136306374401612,0.01136306374401612,0.006966916697307805,0.06256038998102868,0.01748253619245629,0.36,116,0.1896551724137931,0.12411925953191771,0.14867719640540467,0.031864661582368635,0.5562853923375071,loose
pooled,EWMA Historical VaR,ewma,3969,0.1,0.10430839002267574,0.004308390022675732,0.004308390022675732,0.005299978624599334,0.050810664640180574,0.01617205439675691,0.26,116,0.16379310344827586,0.12768382230200853,0.15577569047513865,0.02348150939702438,0.5076828518746158,loose
pooled,CAViaR,caviar,3964,0.1,0.10872855701311807,0.00872855701311806,0.00872855701311806,0.006186232943653306,0.05689611923118725,0.016998694746840126,0.38,116,0.12931034482758622,0.12711893304691782,0.15696469057419568,0.0274705438538896,0.5567606788443575,loose
pooled,GARCH-t VaR,garch_t,3969,0.1,0.10758377425044091,0.007583774250440906,0.007583774250440906,0.007330572344858922,0.06813827081204933,0.017627306117358292,0.36,116,0.1724137931034483,0.12193040230542655,0.13172146683236635,0.027967175960173417,0.46846283716753057,loose
